,id_disciplina,nome_componete_curricular,taxa_reprov,n
140,27163,MATERIAIS DENTÁRIOS,0.3561643835616438,146
141,26973,ALIMENTOS E ALIMENTAÇÃO DE AVES,0.3556701030927835,194
142,26975,"ÉTICA PROFISSIONAL, EMPREENDEDORISMO E COMERCIALIZAÇÃO DOS PRODUTOS",0.3556701030927835,194
143,27099,BIOESTATÍSTICA,0.3548387096774194,62
144,28013,ANATOMIA E FISIOLOGIA APLICADA,0.3548387096774194,62
145,25601,LABORATÓRIO DE QUÍMICA I,0.35443037974683544,79
146,26981,MANEJO DE BEZERRAS E NOVILHAS,0.35294117647058826,68
147,28019,PSICOLOGIA APLICADA À SAÚDE,0.35135135135135137,74
148,18741,"GESTÃO, PLANEJAMENTO, PROJETOS E EXTENSÃO EM RANICULTURA",0.35,40
149,28018,PATOLOGIA GERAL,0.35,80
150,27094,TERRITÓRIO EM SAÚDE,0.34838709677419355,155
151,31314,ÉTICA E RELAÇÕES INTERPESSOAIS,0.34782608695652173,46
152,25605,LABORATÓRIO DE QUÍMICA II,0.3472222222222222,72
153,22430,MANEJO E ENGORDA DE CAMARÕES,0.34545454545454546,165
154,18097,INTRODUÇÃO AO ESTUDO DOS MATERIAIS DENTÁRIOS,0.3452054794520548,365
155,18668,FITOSSANIDADE,0.3443145589798087,941
156,27167,PROCESSAMENTO DE FILMES RADIOGRÁFICOS,0.3424657534246575,146
157,25603,LABORATÓRIO DE BIOLOGIA I,0.34177215189873417,79
158,21158,PSICOLOGIA DO ENVELHECIMENTO,0.34076433121019106,314
159,27161,SAÚDE BUCAL COLETIVA,0.33986928104575165,153
160,22420,ECOLOGIA AQUÁTICA E SUSTENTABILIDADE,0.33962264150943394,159
161,22437,EXTENSÃO APLICADA À AQUICULTURA,0.3395061728395062,162
162,27090,PSICOLOGIA APLICADA À SAÚDE,0.3389830508474576,236
163,22435,PLANEJAMENTO E ELABORAÇÃO DE PROJETOS,0.3384615384615385,130
164,18627,INFORMÁTICA - 1º ANO,0.3375,480
165,18609,QUÍMICA - 1º ANO,0.33747412008281574,483
166,27110,INTRODUÇÃO À PROFISSÃO,0.33620689655172414,116
167,18678,APICULTURA,0.33520809898762655,889
168,26969,MANEJO DE MATRIZES E INCUBAÇÃO DE OVOS,0.33505154639175255,194
169,26989,ASPECTOS BIOLÓGICOS E ECOLÓGICOS DAS ABELHAS SEM FERRÃO,0.3333333333333333,117
170,25658,INTRODUÇÃO À EDUCAÇÃO A DISTÂNCIA,0.3333333333333333,117
171,27354,COMPOSIÇÃO DOS ALIMENTOS,0.3333333333333333,195
172,22429,BIOLOGIA E CULTIVO DE PLÂNCTON,0.3313253012048193,166
173,28091,ANATOMIA E ESCULTURA DENTAL I,0.32967032967032966,91
174,28093,ANATOMIA E ESCULTURA DENTAL II,0.32954545454545453,88
175,18603,BIOLOGIA - 1º ANO,0.32914046121593293,477
176,27165,NOMENCLATURA E INSTRUMENTAL EM ODONTOLOGIA,0.3291139240506329,158
177,27156,ÉTICA,0.32727272727272727,165
178,31216,PRÁTICAS DE IDENTIFICAÇÃO E ARQUIVAMENTO,0.32608695652173914,46
179,28094,PRÓTESE TOTAL I,0.3258426966292135,89
180,18612,HISTÓRIA - 1º ANO,0.325678496868476,479
181,28090,MATERIAIS DENTÁRIOS,0.3253012048192771,83
182,18615,GEOGRAFIA - 1º ANO,0.325,480
183,25609,LABORATÓRIO DE FÍSICA III,0.3246753246753247,77
184,26980,MANEJO REPRODUTIVO,0.3235294117647059,68
185,26949,PRODUÇÃO DE MUDAS,0.3229166666666667,288
186,27164,BIOSSEGURANÇA E ERGONOMIA NO AMBIENTE ODONTOLÓGICO,0.3219178082191781,146
187,22425,NUTRIÇÃO E ALIMENTAÇÃO DE ORGANISMOS AQUÁTICOS,0.32075471698113206,159
188,25608,LABORATÓRIO DE QUÍMICA III,0.3194444444444444,72
189,27160,GERENCIAMENTO DO CONSULTÓRIO ODONTOLÓGICO E EMPREENDEDORISMO,0.31901840490797545,163
190,22427,ALEVINAGEM E ENGORDA DE PEIXES,0.31875,160
191,28010,INFORMÁTICA E EMPREENDEDORISMO EM SAÚDE,0.3181818181818182,88
192,20445,MICROBIOLOGIA DOS ALIMENTOS,0.31788079470198677,604
193,20443,BIOQUÍMICA BÁSICA,0.3129139072847682,604
194,25610,LABORATÓRIO DE BIOLOGIA III,0.3116883116883117,77
195,28740,LÍNGUA PORTUGUESA - 1º ANO EJA -EPT,0.3108108108108108,74
196,28011,BIOSSEGURANÇA LABORATORIAL,0.30952380952380953,84
197,22438,LEGISLAÇÃO AQUÍCOLA E AMBIENTAL,0.30952380952380953,168
198,22424,CONSTRUÇÕES DE VIVEIROS ESCAVADOS E PEQUENAS EDIFICAÇÕES,0.3090909090909091,165
199,18624,ESPANHOL - 1º ANO,0.3089770354906054,479
200,26978,RAÇAS BOVINAS DE LEITE,0.3088235294117647,68
201,18680,RANICULTURA,0.3086997193638915,1069
202,27159,LEGISLAÇÃO TRABALHISTA,0.30864197530864196,162
203,28113,INFORMÁTICA EM SAÚDE,0.3076923076923077,91
204,28182,MICROBIOLOGIA E PARASITOLOGIA,0.3076923076923077,91
205,18679,CUNICULTURA,0.3074792243767313,1083
206,26971,MANEJO DE CRIAÇÃO DE AVES DE POSTURA,0.30412371134020616,194
207,20440,INTRODUÇÃO À NUTRIÇÃO,0.30318257956448913,597
208,28100,PRÓTESE PARCIAL REMOVÍVEL I,0.30303030303030304,66
209,21163,RELAÇÕES INTERPESSOAIS E EMPREENDEDORISMO,0.3028391167192429,317
210,28187,"HISTÓRIA DA ENFERMAGEM, ÉTICA E LEGISLAÇÃO",0.3028169014084507,142
211,21156,ENVELHECIMENTO HUMANO,0.3025936599423631,347
212,18736,NUTRIÇÃO/ALIMENTAÇÃO DE RÃS,0.3023255813953488,43
213,21160,ANATOMIA E FISIOLOGIA HUMANA NO PROCESSO DE ENVELHECIMENTO,0.3018292682926829,328
214,28760,BIOLOGIA - 1º EJA - EPT,0.3013698630136986,73
215,22423,PATOLOGIA DE ORGANISMOS AQUÁTICOS,0.29878048780487804,164
216,25606,LABORATÓRIO DE FÍSICA II,0.2987012987012987,77
217,25607,LABORATÓRIO DE BIOLOGIA II,0.2987012987012987,77
218,26947,HORTICULTURA GERAL,0.2986111111111111,288
